,개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명,시도,시군구,시도 시군구
9404,단란주점영업,1,영업,부산광역시 금정구 구서동 86-5,애플노래주점,단란주점,부산광역시,금정구,부산광역시 금정구
9405,단란주점영업,1,영업,부산광역시 금정구 구서동 415-112,궁,단란주점,부산광역시,금정구,부산광역시 금정구
9406,단란주점영업,1,영업,부산광역시 금정구 구서동 415-42,친구,단란주점,부산광역시,금정구,부산광역시 금정구
9407,단란주점영업,1,영업,부산광역시 금정구 서동 210-1,밀키밀키,단란주점,부산광역시,금정구,부산광역시 금정구
9408,단란주점영업,1,영업,부산광역시 수영구 민락동 193-2번지,키스,단란주점,부산광역시,수영구,부산광역시 수영구
9409,단란주점영업,1,영업,부산광역시 수영구 민락동 181-143 3층,하꼬네,단란주점,부산광역시,수영구,부산광역시 수영구
9410,단란주점영업,1,영업,부산광역시 수영구 광안동 44-33번지,맨하탄,단란주점,부산광역시,수영구,부산광역시 수영구
9411,단란주점영업,1,영업,부산광역시 수영구 수영동 449-1,베르사체,단란주점,부산광역시,수영구,부산광역시 수영구
9412,단란주점영업,1,영업,부산광역시 수영구 광안동 741-12번지 지하1층,벤츠,단란주점,부산광역시,수영구,부산광역시 수영구
9413,단란주점영업,1,영업,부산광역시 수영구 수영동 304-5 지하1층,골든벨,단란주점,부산광역시,수영구,부산광역시 수영구
9414,단란주점영업,1,영업,부산광역시 수영구 광안동 75-16 2층,옥이,단란주점,부산광역시,수영구,부산광역시 수영구
9415,단란주점영업,1,영업,부산광역시 남구 용호동 83-7번지,마돈나,단란주점,부산광역시,남구,부산광역시 남구
9416,단란주점영업,1,영업,부산광역시 남구 용호동 395-41,유진포장타운,단란주점,부산광역시,남구,부산광역시 남구
9417,단란주점영업,1,영업,부산광역시 남구 용호동 395-18,에이스 단란주점,단란주점,부산광역시,남구,부산광역시 남구
9418,단란주점영업,1,영업,부산광역시 남구 용호동 369-32,코끼리7080라이브,단란주점,부산광역시,남구,부산광역시 남구
9419,단란주점영업,1,영업,부산광역시 남구 대연동 1742-3,일출단란주점,단란주점,부산광역시,남구,부산광역시 남구
9420,단란주점영업,1,영업,부산광역시 남구 용호동 495-8번지,서영노래주점,단란주점,부산광역시,남구,부산광역시 남구
9421,단란주점영업,1,영업,부산광역시 남구 용호동 494-17,야화 미드나이트,단란주점,부산광역시,남구,부산광역시 남구
9422,단란주점영업,1,영업,부산광역시 남구 용호동 370-11,용호1번가 포장센타,단란주점,부산광역시,남구,부산광역시 남구
9423,단란주점영업,1,영업,부산광역시 남구 용호동 486-29번지,팡팡,단란주점,부산광역시,남구,부산광역시 남구
9424,단란주점영업,1,영업,부산광역시 남구 용호동 406-31,다인,단란주점,부산광역시,남구,부산광역시 남구
9425,단란주점영업,1,영업,부산광역시 남구 용호동 406-21,여시등단란주점,단란주점,부산광역시,남구,부산광역시 남구
9426,단란주점영업,1,영업,부산광역시 남구 용호동 406-16,이벤트가요노래주점,단란주점,부산광역시,남구,부산광역시 남구
9427,단란주점영업,1,영업,부산광역시 남구 용호동 83-5,월드노래주점,단란주점,부산광역시,남구,부산광역시 남구
9428,단란주점영업,1,영업,부산광역시 남구 용호동 368-11,연예인,단란주점,부산광역시,남구,부산광역시 남구
9429,단란주점영업,1,영업,부산광역시 남구 용호동 369-1,대박,단란주점,부산광역시,남구,부산광역시 남구
9430,단란주점영업,1,영업,부산광역시 남구 문현동 205-54번지,스마트노래자랑,단란주점,부산광역시,남구,부산광역시 남구
9431,단란주점영업,1,영업,부산광역시 남구 용호동 495-46 2층,로이,단란주점,부산광역시,남구,부산광역시 남구
9432,단란주점영업,1,영업,부산광역시 남구 용호동 395-68,이기대 포장 클럽,단란주점,부산광역시,남구,부산광역시 남구
9433,단란주점영업,1,영업,부산광역시 남구 용호동 394-26,사계절 포장센터,단란주점,부산광역시,남구,부산광역시 남구
9434,단란주점영업,1,영업,부산광역시 남구 용호동 395-56번지,청사초롱,단란주점,부산광역시,남구,부산광역시 남구
9435,단란주점영업,1,영업,"부산광역시 금정구 부곡동 295-33 ,37",사또 포장센타,단란주점,부산광역시,금정구,부산광역시 금정구
9436,단란주점영업,1,영업,부산광역시 수영구 남천동 556-16 지하1층,돈키호테,단란주점,부산광역시,수영구,부산광역시 수영구
9437,단란주점영업,1,영업,부산광역시 수영구 남천동 10-6 지하1층,타라,단란주점,부산광역시,수영구,부산광역시 수영구
9438,단란주점영업,1,영업,부산광역시 수영구 민락동 181-149번지,일번지가라오케,단란주점,부산광역시,수영구,부산광역시 수영구
